episode,cumulative_reward,electricity_cost_eur,grid_import_kwh,battery_throughput_kwh,epsilon_start,epsilon,final_soc_kwh,training_steps,gradient_updates,target_syncs,mean_training_loss,max_training_loss,max_abs_q,max_abs_target,max_gradient_norm_before_clip,discharge_requests,hold_requests,charge_requests
39,-29524.826016629486,28424.735646518675,295142.43112188444,110009.0370110795,0.09750000000000003,0.0737500000000001,10.0,341640,84911,341,2.2342359598640984,4.386433124542236,100.0924072265625,102.21830749511719,17.014862060546875,3010,2901,2849
40,-29371.34975902344,28348.315723677213,294550.34186703636,102303.40353462522,0.0737500000000001,0.050000000000000044,57.5,350400,87101,350,2.276356390894276,4.827588081359863,101.43622589111328,102.94462585449219,16.947206497192383,2695,3424,2641
41,-29370.04403585713,28464.05034156356,294991.08733795054,90599.36942936227,0.050000000000000044,0.050000000000000044,10.0,359160,89291,359,2.284680907584761,5.045962333679199,99.60814666748047,101.52072143554688,16.829450607299805,2416,3642,2702
42,-29323.32356194573,28355.43868626711,294699.2799279792,96788.48756786613,0.050000000000000044,0.050000000000000044,10.0,367920,91481,367,2.2319543351865794,4.131496429443359,100.10765075683594,99.88882446289062,16.400514602661133,2630,3169,2961
43,-29352.3577489801,28417.23651618233,295264.8762964002,93512.12327977772,0.050000000000000044,0.050000000000000044,10.0,376680,93671,376,2.159794615964367,4.130865097045898,100.56057739257812,101.21745300292969,19.227746963500977,2292,2705,3763
44,-29438.94007566946,28451.501994506056,294668.4200138512,98743.80811634281,0.050000000000000044,0.050000000000000044,57.5,385440,95861,385,2.2434858078281628,4.6483869552612305,100.7452163696289,102.43737030029297,15.185261726379395,2311,3059,3390
45,-29474.44654609396,28604.193990636853,295185.3148670372,87025.25554570582,0.050000000000000044,0.050000000000000044,57.5,394200,98051,394,2.2426293634388546,4.378553867340088,100.36585235595703,101.24244689941406,17.281150817871094,2037,3442,3281
46,-29477.822912463645,28604.774995122945,294934.5977562342,87304.79173407136,0.050000000000000044,0.050000000000000044,10.0,402960,100241,402,2.20552343119225,4.794898509979248,98.77523803710938,101.26441955566406,16.819034576416016,2133,3286,3341
47,-29389.117894102423,28503.333176678596,294593.1929861505,88578.4717423819,0.050000000000000044,0.050000000000000044,10.0,411720,102431,411,2.2681477718701646,4.5949296951293945,100.08563232421875,103.25900268554688,18.907392501831055,2158,3083,3519
48,-29483.371664336693,28512.26132915659,295057.692157896,97111.03351800478,0.050000000000000044,0.050000000000000044,10.0,420480,104621,420,2.215730840838663,4.348114967346191,100.01998901367188,104.5280532836914,19.439424514770508,2484,3168,3108
49,-29453.407697359977,28459.806059880753,295007.8767783943,99360.16374792178,0.050000000000000044,0.050000000000000044,10.0,429240,106811,429,2.2502315069986807,4.243378162384033,102.44931030273438,103.14276123046875,17.17967987060547,2595,2992,3173
50,-29430.466348459646,28397.147003722836,295284.30404709245,103331.9344736833,0.050000000000000044,0.050000000000000044,10.0,438000,109001,438,2.2070642640873723,4.399857044219971,99.68510437011719,101.9685287475586,14.972623825073242,2537,3242,2981
51,-29508.836741118215,28473.32889951159,294906.08223822847,103550.7841606638,0.050000000000000044,0.050000000000000044,10.0,446760,111191,446,2.1080703564974814,4.216091632843018,100.10308074951172,102.0287094116211,15.735004425048828,2653,3238,2869
52,-29451.66284865625,28440.842718960994,294890.1622465388,101082.01296952856,0.050000000000000044,0.050000000000000044,31.777894736842107,455520,113381,455,2.0966947294261358,4.011422157287598,101.70420837402344,103.61846160888672,17.260452270507812,2434,3630,2696
53,-29438.306784864893,28503.548618632194,294824.38117174647,93475.81662326805,0.050000000000000044,0.050000000000000044,10.0,464280,115571,464,2.153130291150585,4.384089469909668,101.74970245361328,102.06440734863281,16.676071166992188,2418,3693,2649
54,-29379.14031716474,28438.617274671673,295088.93495845015,94052.30424930694,0.050000000000000044,0.050000000000000044,57.5,473040,117761,473,2.2241000198610297,4.845633029937744,102.28284454345703,103.4919204711914,15.694483757019043,2299,3832,2629
55,-29430.458552204083,28574.55394115143,295602.6962465391,85590.4611052626,0.050000000000000044,0.050000000000000044,10.0,481800,119951,481,2.1553576778059136,4.765566349029541,101.04536437988281,101.88289642333984,17.75105857849121,2276,3881,2603
56,-29435.97992832694,28643.107007883733,295100.2141412758,79287.29204432102,0.050000000000000044,0.050000000000000044,10.0,490560,122141,490,2.1668268927700445,4.527772903442383,102.21133422851562,107.50894927978516,15.768057823181152,1933,3861,2966
57,-29362.624175829187,28606.05684186795,295023.3889916917,75656.73339612166,0.050000000000000044,0.050000000000000044,29.83157894736842,499320,124331,499,2.179704442198418,4.551647186279297,104.04010009765625,104.84199523925781,17.029205322265625,1850,3870,3040
58,-29472.974922785066,28689.30829705096,295004.22729362984,78366.66257340675,0.050000000000000044,0.050000000000000044,31.777894736842107,508080,126521,508,2.2848984074647025,4.532417297363281,103.68745422363281,105.01948547363281,17.7624568939209,1823,3677,3260
59,-29491.06742467188,28653.476668605377,295740.9764404442,83759.07560664784,0.050000000000000044,0.050000000000000044,10.0,516840,128711,516,2.2889792793145465,4.817671775817871,105.06256866455078,106.88553619384766,17.057756423950195,2005,3727,3028
60,-29441.64767698434,28589.20987415884,295318.1197313029,85243.78028254802,0.050000000000000044,0.050000000000000044,10.0,525600,130901,525,2.172727849576027,4.281299114227295,102.20655059814453,104.81613159179688,18.151748657226562,2168,3361,3231
61,-29403.98972416073,28616.962801501402,295441.93035734224,78702.6922659277,0.050000000000000044,0.050000000000000044,10.0,534360,133091,534,2.1134816830288874,4.312317371368408,101.27928924560547,104.45796966552734,16.323087692260742,2008,3110,3642
62,-29414.7866715581,28624.646710810117,295512.510977841,79013.99607479194,0.050000000000000044,0.050000000000000044,10.0,543120,135281,543,2.2165715839492677,4.463161945343018,101.3018569946289,105.37101745605469,18.00035285949707,1912,3249,3599
63,-29402.649909551787,28642.6319941501,295317.2155595577,76001.79154016594,0.050000000000000044,0.050000000000000044,10.0,551880,137471,551,2.136019700874477,4.152342319488525,103.17667388916016,105.86944580078125,19.065723419189453,1762,3197,3801
64,-29411.51823315361,28701.664299413995,295127.01433241175,70985.39337396104,0.050000000000000044,0.050000000000000044,10.0,560640,139661,560,2.1021469889438316,4.180161952972412,101.77741241455078,103.12569427490234,16.690593719482422,1661,3058,4041
65,-29409.57410412095,28657.344282985236,295185.58137673256,75222.98211357319,0.050000000000000044,0.050000000000000044,31.777894736842107,569400,141851,569,2.163851955954887,4.582568168640137,100.7771987915039,104.63025665283203,17.5058650970459,1786,2795,4179
66,-29434.315054891827,28612.84145669239,295429.45297784085,82147.3598199445,0.050000000000000044,0.050000000000000044,10.0,578160,144041,578,2.092987134603605,4.261784076690674,100.69612884521484,103.25518798828125,18.92979621887207,1950,2938,3872
67,-29454.580651510816,28669.007702618866,295358.98042936454,78557.29488919645,0.050000000000000044,0.050000000000000044,10.0,586920,146231,586,2.114139986745843,4.469243049621582,101.34896087646484,103.90161895751953,15.277447700500488,2108,3022,3630
68,-29419.504828642646,28693.673237617688,295085.08245983516,72583.15910249302,0.050000000000000044,0.050000000000000044,79.27789473684211,595680,148421,595,2.1448146868241977,4.5637946128845215,104.79632568359375,104.6070327758789,16.392662048339844,1894,3121,3745
69,-29376.20916248229,28606.071068742684,295075.92410526465,77013.80937396096,0.050000000000000044,0.050000000000000044,57.5,604440,150611,604,2.072376711183487,4.179111003875732,101.7580337524414,101.26837158203125,15.949793815612793,1917,3155,3688
70,-29390.482140201282,28551.489858234487,295142.2470997243,83899.22819667542,0.050000000000000044,0.050000000000000044,10.0,613200,152801,613,2.080353210451396,3.9742157459259033,102.39217376708984,100.83805084228516,17.315448760986328,2038,3083,3639
71,-29391.48985719665,28587.369322210532,295183.4836786719,80412.05349861461,0.050000000000000044,0.050000000000000044,31.777894736842107,621960,154991,621,2.1696540806935802,4.363078594207764,101.80801391601562,104.70068359375,15.390551567077637,2018,3407,3335
72,-29467.40615352153,28716.506029975797,294959.60575069406,75090.01235457043,0.050000000000000044,0.050000000000000044,10.0,630720,157181,630,2.2103884437584984,4.453722953796387,103.46369934082031,104.7796859741211,17.49346923828125,1910,3254,3596
73,-29425.607070991737,28624.87040658729,295084.4557063729,80073.666440443,0.050000000000000044,0.050000000000000044,10.0,639480,159371,639,2.1761902548678935,4.5378737449646,104.8799057006836,103.58173370361328,16.094573974609375,1889,3287,3584
74,-29489.0291920308,28541.176492473984,295247.25134072156,94785.26995567829,0.050000000000000044,0.050000000000000044,10.0,648240,161561,648,2.177372207897439,4.1897358894348145,103.43999481201172,105.4881820678711,17.774267196655273,2174,3380,3206
75,-29532.457632059042,28556.79618233597,295742.66135457164,97566.14497229861,0.050000000000000044,0.050000000000000044,62.98736842105263,657000,163751,657,2.1731250221870804,5.090817928314209,104.13509368896484,103.4070053100586,18.174230575561523,2536,3225,2999
76,-29529.935371114174,28607.779006515822,295029.8345955692,92215.63645983339,0.050000000000000044,0.050000000000000044,10.0,665760,165941,665,2.173807471636768,4.1782426834106445,102.41316223144531,103.28964233398438,15.50877571105957,2252,3449,3059
77,-29431.77052732251,28530.579790535765,294351.8333850423,90119.07367866993,0.050000000000000044,0.050000000000000044,21.94631578947368,674520,168131,674,2.1280800939422764,4.065546989440918,101.13541412353516,103.39047241210938,14.829463958740234,2327,3433,3000
78,-29409.54358941278,28490.7534135402,294582.5175844889,91879.01758725714,0.050000000000000044,0.050000000000000044,16.106315789473683,683280,170321,683,2.2009982859979482,4.211902618408203,103.01078796386719,103.10164642333984,16.568845748901367,2208,3385,3167
79,-29367.694928966645,28469.018159880707,294517.32238504273,89867.67690858697,0.050000000000000044,0.050000000000000044,29.83157894736842,692040,172511,692,2.1541897888869457,4.547317028045654,100.11266326904297,103.41805267333984,15.605196952819824,2090,3809,2861
80,-29472.424657272702,28584.69399328372,294073.681662051,88773.0663988918,0.050000000000000044,0.050000000000000044,10.0,700800,174701,700,2.2462439058850343,4.502167224884033,102.41841888427734,103.85781860351562,15.819108009338379,2170,3594,2996
81,-29364.026753659185,28477.51426390848,294049.6031551254,88651.24897506883,0.050000000000000044,0.050000000000000044,29.83157894736842,709560,176891,709,2.1472434454584777,5.021784782409668,99.98163604736328,102.85255432128906,18.303537368774414,2182,3738,2840
82,-29439.990910075034,28516.590613343822,294077.532662051,92340.02967312976,0.050000000000000044,0.050000000000000044,19.33052631578947,718320,179081,718,2.1231465823846323,4.803610801696777,99.47210693359375,101.546875,16.456645965576172,2217,3582,2961
83,-29380.975973188677,28482.19554703911,293669.9460941842,89878.0426149581,0.050000000000000044,0.050000000000000044,10.0,727080,181271,727,2.273787181426401,4.544647693634033,104.3544921875,103.26722717285156,15.468415260314941,2590,3578,2592
84,-29463.842494206678,28554.022748278778,293383.4837313028,90981.97459279717,0.050000000000000044,0.050000000000000044,31.777894736842107,735840,183461,735,2.2485534058041767,4.38594913482666,103.35122680664062,102.33885955810547,17.64739990234375,2839,3410,2511
85,-29450.276815630965,28532.583312583847,293830.48757340846,91769.3503047085,0.050000000000000044,0.050000000000000044,31.777894736842107,744600,185651,744,2.230777930587394,4.421838283538818,102.12129974365234,100.66224670410156,18.036949157714844,2682,3462,2616
86,-29433.236819323,28456.784166359004,293869.47501939227,97645.26529639837,0.050000000000000044,0.050000000000000044,31.777894736842107,753360,187841,753,2.270114843268373,4.550343990325928,102.3263168334961,103.062744140625,17.002315521240234,2705,3266,2789
87,-29442.373812217033,28437.445564571568,293889.34373684344,100492.82476454224,0.050000000000000044,0.050000000000000044,10.0,762120,190031,762,2.249492509397742,4.657346725463867,106.86817932128906,104.69113159179688,17.466604232788086,2861,3095,2804
88,-29443.17367795864,28478.074504966982,293907.3900221617,96509.9172991683,0.050000000000000044,0.050000000000000044,10.0,770880,192221,770,2.2687500552499675,4.136608600616455,104.12874603271484,103.02725219726562,16.194971084594727,2998,3230,2532
89,-29533.28974144288,28587.591599420768,293825.13068421173,94569.81420221546,0.050000000000000044,0.050000000000000044,10.0,779640,194411,779,2.312507745827714,4.6292805671691895,100.3991928100586,101.23764038085938,17.059051513671875,3098,3140,2522
90,-29492.536588914398,28534.922649052933,293814.53739335295,95761.39398614892,0.050000000000000044,0.050000000000000044,31.777894736842107,788400,196601,788,2.3683131599807306,4.813745498657227,100.885498046875,102.27470397949219,18.801895141601562,2744,3189,2827
91,-29499.899718924284,28553.05075565559,293852.95111080416,94684.89632686929,0.050000000000000044,0.050000000000000044,43.77473684210526,797160,198791,797,2.2949150795805946,4.5665740966796875,107.9991226196289,104.67216491699219,19.128292083740234,2615,3282,2863
92,-29496.407172359824,28525.422293855754,294046.1303047104,97098.48785041487,0.050000000000000044,0.050000000000000044,31.777894736842107,805920,200981,805,2.286381894241185,4.707362651824951,107.44271850585938,102.29702758789062,14.707657814025879,2445,3348,2967
93,-29519.178123074667,28598.97598961205,293923.9629944614,92020.21334626002,0.050000000000000044,0.050000000000000044,10.0,814680,203171,814,2.247905163405693,4.580339431762695,102.32374572753906,101.57112884521484,16.49547004699707,2244,3289,3227
94,-29479.964388345757,28558.985283608894,294353.2384598351,92097.91047368394,0.050000000000000044,0.050000000000000044,31.777894736842107,823440,205361,823,2.26510956121362,4.511682033538818,106.25325775146484,102.8181381225586,16.015926361083984,2296,3299,3165
95,-29484.884337841202,28601.25076293819,294570.45211634506,88363.35749030436,0.050000000000000044,0.050000000000000044,10.0,832200,207551,832,2.242902223214711,5.017413139343262,105.83948516845703,102.08642578125,16.795921325683594,2073,3378,3309
96,-29432.968398648005,28480.14382598868,294146.294002771,95282.45726592744,0.050000000000000044,0.050000000000000044,31.777894736842107,840960,209741,840,2.2187742304039872,4.885444164276123,107.60706329345703,103.70358276367188,15.766608238220215,2298,3127,3335
97,-29415.9371691222,28513.83707546572,294079.9208033255,90210.00936565068,0.050000000000000044,0.050000000000000044,10.0,849720,211931,849,2.229254808219056,4.6753458976745605,104.051025390625,102.08950805664062,14.08523178100586,2203,3187,3370
98,-29463.379524116935,28554.73898328592,293973.2651385061,90864.05408310198,0.050000000000000044,0.050000000000000044,10.0,858480,214121,858,2.1979131245721963,4.7276997566223145,106.31645965576172,103.53050231933594,14.931815147399902,2304,3310,3146
99,-29453.807438161817,28516.95613625047,293948.31177839503,93685.13019113532,0.050000000000000044,0.050000000000000044,29.976842105263152,867240,216311,867,2.26548763214181,4.424485683441162,106.7792739868164,102.83381652832031,15.528399467468262,2224,3483,3053
100,-29443.220327412135,28550.957167024288,293877.07744598476,89226.3160387808,0.050000000000000044,0.050000000000000044,59.44631578947368,876000,218501,876,2.1904352080059923,4.389810562133789,102.66150665283203,105.83244323730469,15.833578109741211,2078,3489,3193
