episode,cumulative_reward,electricity_cost_eur,grid_import_kwh,battery_throughput_kwh,epsilon_start,epsilon,final_soc_kwh,training_steps,gradient_updates,target_syncs,mean_training_loss,max_training_loss,max_abs_q,max_abs_target,max_gradient_norm_before_clip,discharge_requests,hold_requests,charge_requests
33,-29882.846937490336,28978.699395468167,296398.4932603887,90414.75420221552,0.24,0.21625000000000005,10.0,289080,71771,289,2.1507883850025804,4.20131254196167,102.32662963867188,100.37496948242188,19.06336784362793,2536,3538,2686
34,-29843.607587308743,28936.55774728105,295806.0147091418,90704.98400276962,0.21625000000000005,0.1925,10.0,297840,73961,297,2.162511804033088,4.4935126304626465,106.04560852050781,103.8156967163086,15.061732292175293,2340,3450,2970
35,-29807.47119761596,28846.301503987106,296211.82871745323,96116.96936288019,0.1925,0.16875000000000007,10.0,306600,76151,306,2.3461530096726877,4.627278804779053,108.42288208007812,105.40155029296875,17.824596405029297,2389,3289,3082
36,-29755.84931784081,28800.029201248144,295852.92101385223,95582.01165927904,0.16875000000000007,0.14500000000000002,10.0,315360,78341,315,2.252036148173624,4.582770347595215,104.50423431396484,104.2686996459961,14.758990287780762,2462,3074,3224
37,-29632.877781204825,28570.389319376638,295281.7310332416,106248.84618282471,0.14500000000000002,0.12124999999999997,27.43368421052631,324120,80531,324,2.2375400889137564,4.355670928955078,100.83856201171875,103.95870208740234,15.335967063903809,2650,3199,2911
38,-29626.698327782833,28572.59333260284,295268.4723047107,105410.4995180047,0.12124999999999997,0.09750000000000003,10.0,332880,82721,332,2.275244640569164,4.3009033203125,100.50281524658203,101.83035278320312,16.577890396118164,2712,3236,2812
39,-29563.388008348364,28495.415442974485,294854.1913988927,106797.25653739518,0.09750000000000003,0.0737500000000001,10.0,341640,84911,341,2.3774770962865386,4.861478805541992,103.34793090820312,101.87393951416016,16.489418029785156,2866,3055,2839
40,-29528.264825598697,28477.81254609735,295120.16000000073,105045.22795013768,0.0737500000000001,0.050000000000000044,10.0,350400,87101,350,2.365986644350775,4.542896270751953,98.62621307373047,100.83324432373047,16.044151306152344,2594,3313,2853
41,-29442.04303120576,28448.446157881775,294529.70950138615,99359.6873324093,0.050000000000000044,0.050000000000000044,10.0,359160,89291,359,2.2788435955570168,4.485782623291016,106.390625,103.707275390625,15.78970718383789,2583,3201,2976
42,-29393.68953560766,28340.27188574625,294685.55649584625,105341.76498614856,0.050000000000000044,0.050000000000000044,10.0,367920,91481,367,2.2948308664914134,4.868666172027588,108.14262390136719,104.4449234008789,16.082033157348633,2974,3147,2639
43,-29379.84205472365,28342.086016745885,294148.9960997245,103775.60379778314,0.050000000000000044,0.050000000000000044,10.0,376680,93671,376,2.2500413606972454,4.2616095542907715,107.44561004638672,103.91093444824219,16.798208236694336,2756,3574,2430
44,-29400.3236722555,28409.825439152974,294438.3011523557,99049.82331024838,0.050000000000000044,0.050000000000000044,10.0,385440,95861,385,2.3244645168792166,4.9182634353637695,105.54302978515625,105.2718734741211,16.26255989074707,2744,3443,2573
45,-29396.893458824332,28370.409459101393,294790.8307617744,102648.39997229815,0.050000000000000044,0.050000000000000044,29.83157894736842,394200,98051,394,2.2521625357947936,4.282108306884766,104.96236419677734,102.560302734375,16.900196075439453,2794,3279,2687
46,-29452.75632268149,28394.27312963443,295235.4214709149,105848.31930470822,0.050000000000000044,0.050000000000000044,67.33157894736843,402960,100241,402,2.3527696392035375,4.501502990722656,104.42252349853516,103.1045913696289,17.071773529052734,2756,3182,2822
47,-29419.343217759335,28403.11378282863,294601.04734903184,101622.94349307404,0.050000000000000044,0.050000000000000044,10.0,411720,102431,411,2.311211843577694,4.909857749938965,97.98308563232422,100.55705261230469,16.24184799194336,2723,3203,2834
