episode,cumulative_reward,electricity_cost_eur,grid_import_kwh,battery_throughput_kwh,epsilon,final_soc_kwh
147,-30861.532961678924,29884.908454227345,296688.4801274248,97662.4507451521,0.052360893770972874,10.0
148,-30753.32949697001,29730.74775683153,297831.49508587376,102258.17401384987,0.05131367589555342,10.0
149,-31019.92137544357,29796.539523172094,298249.5814099734,122338.18522714594,0.05028740237764235,28.231578947368433
150,-30526.319960820703,29554.11639960183,297081.4141828262,97220.35612188316,0.05,10.0
151,-30735.721419385645,29448.941559579464,297895.7314958461,128677.98598060838,0.05,10.0
152,-30801.99001713535,29672.69132868654,298143.1446232702,112929.86884487464,0.05,10.0
153,-30666.307935928995,29599.43355047191,297603.4799889208,106687.4385457057,0.05,10.0
154,-30366.877789121863,29400.16643446811,297321.8899002785,96671.13546537337,0.05,10.0
155,-30436.501033445602,29367.519732005152,297669.07297784043,106898.1301440436,0.05,10.0
156,-30749.842638514496,29657.90082873606,298087.08603047207,109194.1809778387,0.05,10.0
157,-30779.410068131558,29593.810477854477,297991.4685817185,118559.95902770004,0.05,31.593684210526312
158,-30672.99863290155,29579.18122162729,297917.1447202228,109381.74112742279,0.05,10.0
159,-30466.184620179498,29581.982930317892,297081.8179861503,88420.16898614922,0.05,10.0
160,-31108.929555149785,30127.15782077307,297669.5524930761,98177.17343767264,0.05,10.0
161,-30824.005526852514,29764.737157212614,296718.7764764563,105926.83696398839,0.05,10.0
162,-30542.908928690882,29719.358453981706,296147.85293352004,82355.04747091392,0.05,10.0
163,-30532.7724898253,29734.002978800367,295670.7189058185,79876.95110249276,0.05,10.0
164,-30592.912220351907,29846.275910241147,296333.6481772865,74663.63101108024,0.05,10.0
165,-30425.95890050232,29593.964298120136,296771.1123905829,83199.46023822676,0.05,10.0
166,-30630.503771607837,29493.5462400289,297808.7733905832,113695.7531578942,0.05,10.0
167,-30359.94200060657,29438.093472102384,296958.23259556916,92184.85285041503,0.05,10.0
168,-30449.133203116216,29433.815366080173,296299.94536842237,101531.7837036008,0.05,10.0
169,-30893.573557698583,29632.65924467912,297375.898675902,126091.43130193825,0.05,10.0
170,-30729.158385395385,29641.574913262346,297037.49788365816,108758.34721329587,0.05,10.0
171,-30845.03965266527,29612.446302471413,297778.0777008324,123259.33501939001,0.05,10.0
172,-30182.996451026796,29259.285517314773,295557.9605734083,92371.0933711906,0.05,10.0
173,-30254.198000117387,29272.23782864922,296319.04649307637,98196.01714681386,0.05,10.0
174,-30574.10848426348,29552.11431623017,297236.342991691,102199.41680332343,0.05,10.0
175,-30542.821059139867,29515.2593855941,296769.58251800673,102756.16735457016,0.05,10.0
176,-30348.81073684023,29582.986644402466,296646.8227534644,76582.40924376716,0.05,10.0
177,-30340.26665898395,29442.474162612718,297450.7275595583,89779.24963711861,0.05,10.0
178,-31238.00339550762,30146.016410576845,298198.2688642674,109198.69849307384,0.05,10.0
179,-30700.600300363833,29720.28055820313,297853.28991412855,98031.974216066,0.05,10.0
180,-30780.488035150865,29967.440983627253,296630.086091414,81304.7051523543,0.05,10.0
181,-30292.21258337062,29499.49451904922,295912.7108504171,79271.80643213261,0.05,10.0
182,-30602.643662980045,29625.916241345625,296960.63426869985,97672.74216343422,0.05,10.0
183,-31188.50649522011,30106.302955801795,298325.49381440575,108220.35394182739,0.05,10.0
184,-30506.99439680986,29721.508931297394,295932.1059113589,78548.54655124627,0.05,10.0
185,-30898.306703554,29733.42091466205,298504.6428171756,116488.578889196,0.05,10.0
186,-30796.745872132586,29941.03201700795,296555.7491440456,85571.385512465,0.05,10.0
187,-30802.75764718333,29928.194833914582,296025.51474792405,87456.28132686944,0.05,10.0
188,-30537.19770839332,29822.12957551239,296265.9113102509,71506.81328808863,0.05,10.0
189,-30231.96452989683,29614.997244301205,295936.11259556963,61696.728559556854,0.05,10.0
190,-30466.775592560793,29757.643934250453,295425.6108033252,70913.16583102492,0.05,10.0
191,-30746.24077167345,29798.405674194142,295492.3209778407,94783.50974792193,0.05,10.0
192,-30641.358673862058,29857.534975357878,295421.72906094324,78382.36985041537,0.05,57.5
193,-30601.284776429453,29580.268904462755,295985.13602770236,102101.58719667555,0.05,10.0
194,-30176.37371740958,29608.63852558131,294581.9821828271,56773.51918282551,0.05,25.48736842105263
195,-30097.169352361452,29644.79099920354,294423.4123157907,45237.835315789474,0.05,10.0
196,-30689.81454298227,29850.178636306387,297106.94716620643,83963.59066758974,0.05,10.0
197,-30753.734945793818,30011.409584741177,296827.5342576192,74232.53610526306,0.05,10.0
198,-30930.42963828566,29840.79869670662,298176.00324930844,108963.09415789429,0.05,10.0
199,-30396.871450058065,29782.320012717333,295991.5387340737,61455.143734072095,0.05,10.0
200,-30207.953220039777,29725.391920455295,293906.1646454309,48256.12995844885,0.05,10.0
